scenario,policy,seed,cyber_harm_auc,misbelief_auc,trust_auc,uncertainty_auc,polarization_auc,protocol_attempted,protocol_executed,shield_interventions,final_cyber_harm,final_misbelief,final_trust,exfil_risk_auc,services_down_auc,compromised_auc
ransomware_rumor,pipeline,0,0.0726851851851852,0.23299520360822965,0.5457346127094655,0.07363484245909455,0.02109467897441741,0.0,0.0,0.0,0.16666666666666666,0.2000450958983373,0.5462193779994592,0.0,0.0,0.0726851851851852
ransomware_rumor,pipeline,1,0.027777777777777776,0.22279678428133526,0.5528502687625471,0.07442961065028506,0.03587460419659591,0.0,0.0,0.0,0.027777777777777776,0.18134748318259047,0.552526333028434,0.0,0.0,0.027777777777777776
ransomware_rumor,pipeline,2,1.6225974074576421,0.33317436686968516,0.2890229441230066,0.4817853540570205,0.03086803811228132,72.0,72.0,0.0,3.477777777777778,0.38071806726732893,0.0022000000000000006,0.3856924242652583,0.0,0.20740740740740746
ransomware_rumor,pipeline,3,0.20078301826536496,0.24444119429750175,0.5325854022438651,0.0768231417677148,0.031107674933918764,0.0,0.0,0.0,1.1560322520955477,0.27481579816182694,0.3069658874831398,0.02708150661893695,0.0,0.08564814814814815
ransomware_rumor,pipeline,4,2.6596262033805123,0.5593843198701808,0.13658611916350658,0.8006881148429048,0.022234201676105878,174.0,174.0,0.0,3.144444444444445,0.5883265275159925,0.0022000000000000006,0.7034496210652159,0.0,0.17870370370370375
ransomware_rumor,pipeline,5,1.940246969798243,0.6390141798297158,0.17491364599372422,0.725932952205628,0.017109567413578018,117.0,117.0,0.0,2.8111111111111113,0.8219207215258187,0.0022000000000000006,0.6285634374503796,0.0,0.24629629629629635
ransomware_rumor,pipeline,6,0.08240740740740739,0.22419355210742525,0.5518136074907858,0.06834672232259918,0.018919649251658788,0.0,0.0,0.0,0.08333333333333333,0.1828154977200857,0.5516074892883058,0.0,0.0,0.08240740740740739
ransomware_rumor,pipeline,7,0.027777777777777776,0.21767997871399497,0.5447233724884278,0.0737976807158895,0.03228190069621434,0.0,0.0,0.0,0.027777777777777776,0.1903738686651012,0.5453230661836551,0.0,0.0,0.027777777777777776
ransomware_rumor,pipeline,8,2.1804416468871683,0.7015377407132392,0.13475578094882049,0.7987031236974519,0.013367358779399164,163.0,163.0,0.0,2.8111111111111113,0.8079026808438717,0.0022000000000000006,0.7230121963965244,0.0,0.25648148148148153
ransomware_rumor,pipeline,9,0.13817552264508373,0.23143042154317736,0.5482683438365046,0.07173881390544713,0.026269865170484515,0.0,0.0,0.0,0.94999991599819,0.22548206491526157,0.4137227728847327,0.015037695478405073,0.0,0.0662037037037037
ransomware_rumor,pipeline,10,0.034809182152398345,0.2523740813873109,0.5466243419041503,0.0720010174988143,0.03668429811737129,0.0,0.0,0.0,0.4496620402550118,0.21408509621262353,0.5427154251383072,0.0004604026618645678,0.0,0.02824074074074074
