scenario,policy,seed,t,cyber_harm,detection_conf,severity,compromised_frac,services_down,exfil_risk,ransomware,misbelief,trust,uncertainty,polarization,protocol_attempted,protocol_executed,shield_interventions
ransomware_rumor,pipeline,0,1,0.027777777777777776,0.2644890859851737,0.004273504273504273,0.027777777777777776,0.0,0.0,0.0,0.24173328537612923,0.5452108075377331,0.3724469832626138,0.012368751590812913,0,0,0
ransomware_rumor,pipeline,0,2,0.05555555555555555,0.3405662765253827,0.008547008547008546,0.05555555555555555,0.0,0.0,0.0,0.24365208450684425,0.5452299643075821,0.35124394341577764,0.011955608902425315,0,0,0
ransomware_rumor,pipeline,0,3,0.05555555555555555,0.409620793207238,0.008547008547008546,0.05555555555555555,0.0,0.0,0.0,0.2484507894530144,0.5452490444503518,0.3302860560614085,0.012423250676026731,0,0,0
ransomware_rumor,pipeline,0,4,0.05555555555555555,0.409620793207238,0.008547008547008546,0.05555555555555555,0.0,0.0,0.0,0.2479384974280844,0.5452680482725504,0.30960315420007095,0.01394729002079038,0,0,0
ransomware_rumor,pipeline,0,5,0.05555555555555555,0.409620793207238,0.008547008547008546,0.05555555555555555,0.0,0.0,0.0,0.2507673106848169,0.5452869760794602,0.2891639924970875,0.013859054908578217,0,0,0
ransomware_rumor,pipeline,0,6,0.05555555555555555,0.409620793207238,0.008547008547008546,0.05555555555555555,0.0,0.0,0.0,0.24658633809840924,0.5453058281751424,0.2689671541448609,0.013858956380731298,0,0,0
ransomware_rumor,pipeline,0,7,0.05555555555555555,0.409620793207238,0.008547008547008546,0.05555555555555555,0.0,0.0,0.0,0.24954067593104426,0.5453246048624418,0.24966737665031358,0.01270715269775001,0,0,0
ransomware_rumor,pipeline,0,8,0.05555555555555555,0.409620793207238,0.008547008547008546,0.05555555555555555,0.0,0.0,0.0,0.2485242660868034,0.545343306442992,0.23085881654733642,0.01330486087715835,0,0,0
ransomware_rumor,pipeline,0,9,0.05555555555555555,0.409620793207238,0.008547008547008546,0.05555555555555555,0.0,0.0,0.0,0.2499587516793325,0.5453619332172202,0.21266134068545753,0.011282987959285937,0,0,0
ransomware_rumor,pipeline,0,10,0.05555555555555555,0.409620793207238,0.008547008547008546,0.05555555555555555,0.0,0.0,0.0,0.25050879805478493,0.5453804854843513,0.1953211421069615,0.011099183983219676,0,0,0
